,relation,target,source
0,r_whois_phone,Domain_b9e35a9d38e6b0355b22c83cf52f57eb8b6df492e8f08d171e7ec67112684133,Whois_Phone_f6974ce3fa84ae76d75b9211f3162155db77566a36c82549b66a9a3d966a928b
1,r_cert,Domain_6a95c59ce27364a98a128ba1f0df49106e214c120fe718a6b980cf86b47328c9,Cert_fe794a69eacd63b21245bf4eda826222fc6c5862bebf77aa05459cb308cfd063
2,r_whois_email,Domain_968e388644bf824337c68f006dae0bea4209e230d9cd255de478229647a64e29,Whois_Email_62fe1d0691991999225c173a7c6b4da96e9d590457cfb31befb84fc0e980c15e
3,r_whois_email,Domain_ea7d132bd5f2cd55f5daeb425f86bc58defd842585eea72a7b50b599af02d054,Whois_Email_62fe1d0691991999225c173a7c6b4da96e9d590457cfb31befb84fc0e980c15e
4,r_whois_name,Domain_c58c149eec59bb14b0c102a0f303d4c20366926b5c3206555d2937474124beb9,Whois_Name_db0925a5aeb1849fa7b41f7a29c1192d38e12e97fb6e82e72e894e3c733130ef
5,r_whois_name,Domain_16a3c8545732ca5cc0475714040bb4f4c0a04d7798bd440d2a00046f9d66aa78,Whois_Name_db0925a5aeb1849fa7b41f7a29c1192d38e12e97fb6e82e72e894e3c733130ef
6,r_cidr,IP_fd1466e72d137176ee7d85c8b1d286fdfba318ff80048df9c18155704c997088,IP_CIDR_7b93e45cc9b560884040a75d3daa888a4d54c9e7aa897447b1e25d675f0c7397
7,r_whois_email,Domain_961cc51c9d7f1cd91596f73356b5b4039deab7b78a97d33f413262020c2aadb1,Whois_Email_5a3d16b7df3d815d5f3436bd5dd5c5e1054ee7cb74d4fd8d9efdf3af362a4a18
8,r_subdomain,Domain_91de97019b99f9e4b03f9d1bec9fd8925b15a3687a10ea0124baab42e36170b7,Domain_cee489b4e75d3b79f86fc13516688cb4ed6a84e39f139f25014bf97c0d7bfbf1
9,r_whois_email,Domain_c1af67f1e07694bdaef275df2896ff1511a3fea83935e8dc7b44d17a49c1487a,Whois_Email_5a3d16b7df3d815d5f3436bd5dd5c5e1054ee7cb74d4fd8d9efdf3af362a4a18
10,r_whois_name,Domain_24882fc6210b140a2432a6ef795052b57de43cef2a8616ac8f7ac29b20dc069b,Whois_Name_d93c941eef173511e77515af6861025e9a2a52d597e27bf1825961c2690e66cd
11,r_whois_email,Domain_735c4771683e674e92ea551c4200f45eecad99b1fac38b3a95a9e987f6d9da5a,Whois_Email_62fe1d0691991999225c173a7c6b4da96e9d590457cfb31befb84fc0e980c15e
12,r_cert,Domain_3463c4d7394dd9ed9e0bcafeaed3cf8691dc7dac01cbe3e84bba8391d93a7b38,Cert_fe794a69eacd63b21245bf4eda826222fc6c5862bebf77aa05459cb308cfd063
13,r_dns_a,Domain_366244592364299707e33731d928c96df664d8beabce7066f2399687d9c81261,IP_180ec840d57b66390033e9f0145b6dc76a7213c42d0992faeaaf5719ba7273a2
14,r_dns_a,Domain_f46d307d274bb9a830daa368b0cd60b60b11a19245f69807b22270e54720699d,IP_0458088d7526210a3de82f8c7bf290613c96c823d69b2c21da56ad6d5c57e3fd
