source,target,relation,isKeyline
IP_6a3acd21708c147319a900615bd420e791cd5f466315f9bdbc8e702cc0c6d4fa,IP_CIDR_5ca2aa26f57326f69828521fda73efdb548e9d498d9f3c06ddba55b004a5708a,r_cidr,0
IP_6a3acd21708c147319a900615bd420e791cd5f466315f9bdbc8e702cc0c6d4fa,ASN_a86c15455bcb9b7967833d13f513d8b030183a92137f02f26f9a0d6415521224,r_asn,0
Domain_ac8de395fcde3804db239ed89788ad6e5fbd872abdde1035f242008c3908a1ce,Whois_Name_d519c32dfbc7ae45be70384ee5ca6744a8696b7548eaf393ca1ce5e6a96d0144,r_whois_name,0
Domain_8181beaac467e3c6cfed369e2a5150fda9ee491b466bdf1bdedd1b5a1763fea1,Whois_Name_d519c32dfbc7ae45be70384ee5ca6744a8696b7548eaf393ca1ce5e6a96d0144,r_whois_name,0
Domain_7a20c7f30d433c4908823e841f8f57d2e03dd42bcfb764b83750bcb11aca7093,Whois_Name_d519c32dfbc7ae45be70384ee5ca6744a8696b7548eaf393ca1ce5e6a96d0144,r_whois_name,0
Domain_cb5d67c70ca8c210497cffd1d32288df7e8030578170e8570eac3cc318f1a61d,Whois_Name_d519c32dfbc7ae45be70384ee5ca6744a8696b7548eaf393ca1ce5e6a96d0144,r_whois_name,0
Domain_8314ef247f74baf6943ad3bdeecd2cfcdf47a307e8f010648039195dfa5dcc4b,Whois_Name_d519c32dfbc7ae45be70384ee5ca6744a8696b7548eaf393ca1ce5e6a96d0144,r_whois_name,0
Domain_79d56107ec1353f5b39bd465b775ea75d41a21103c05920349a92e8fd0fb6899,Whois_Name_d519c32dfbc7ae45be70384ee5ca6744a8696b7548eaf393ca1ce5e6a96d0144,r_whois_name,0
Domain_00c36c0ce9728bccc3276ddc4731caafd21895dea739d9995db380265675eb8e,Whois_Name_d519c32dfbc7ae45be70384ee5ca6744a8696b7548eaf393ca1ce5e6a96d0144,r_whois_name,0
Domain_77f6a8b4f6c2db087d371bb4513d3a6fb3f1868d39775f96306adabaa606378b,Whois_Name_d519c32dfbc7ae45be70384ee5ca6744a8696b7548eaf393ca1ce5e6a96d0144,r_whois_name,0
Domain_fbba32a27091034ad01bfb63aaf3d44ea3c792f438c8ac1d9a8709e7e6181d71,Whois_Name_d519c32dfbc7ae45be70384ee5ca6744a8696b7548eaf393ca1ce5e6a96d0144,r_whois_name,0
Domain_04e1c38671f808b7673c0540fa94e56e5b69ccb643c7eb009dcdd1ae06b6b131,Whois_Name_d519c32dfbc7ae45be70384ee5ca6744a8696b7548eaf393ca1ce5e6a96d0144,r_whois_name,0
Domain_c01de4deeaad49b3f4784e8d5d8174f2e3ca7b857cf1dba8b0df8dbe1c17051a,Whois_Name_d519c32dfbc7ae45be70384ee5ca6744a8696b7548eaf393ca1ce5e6a96d0144,r_whois_name,0
Domain_39204f37a807d7866ac5a56cda49fdfce8b016331ea08f7237fa994dc712e4b8,Whois_Name_d519c32dfbc7ae45be70384ee5ca6744a8696b7548eaf393ca1ce5e6a96d0144,r_whois_name,0
