id,name,type,industry,isCenter
Domain_34a6231f101fdfa2b051beaa4b94d463fe5f9f42b7789bbe60f6fd4c292ee7ac,34a6231f10.com,Domain,"['C', 'E', 'A', 'B']",0
Domain_5052db3f33d5337ab631025f7d5de3c5ac559edb2c40deda5530c0051f39b1e2,5052db3f33.com,Domain,"['C', 'E', 'A', 'B']",0
Cert_9ace6aae20e3ac6d9ebfae8938b91112460b27ad204cf11f1301f154c5d309a4,9ace6aae20,Cert,[],1
Domain_d3d0abc4c07c370e8c7413efd154a05a602e5e209ae942850345b2ac56fddbcc,d3d0abc4c0.com,Domain,[],0
Domain_6f51b90ab3ab80b45407724da4f21428fc679ab578242223ba6be8020bd6b2c0,6f51b90ab3.com,Domain,"['C', 'E', 'A', 'B']",0
Domain_aa63f2ee01dd38d4ca451e6fa4ce08c67b5d52a64cf291969e6be7c48b6f9edd,aa63f2ee01.com,Domain,[],0
Domain_c6fb2192fe6ba2de0f1258c168f34382df63658359ee831bbda9f669db2e0499,c6fb2192fe.com,Domain,"['C', 'E', 'A', 'B']",0
Domain_47e5873650de508c8d9a8cdeef87c5a5536decc8b49ed2b0ff09e9b58c04dd26,47e5873650.com,Domain,"['C', 'E', 'A', 'B']",0
Domain_e9906a199dc5060fd8673b70cf1b7e7ffc4aa318fca6c6a8bf7d654e0447e3b1,e9906a199d.com,Domain,"['C', 'E', 'A', 'B']",0
Domain_71d2570dff9ad6ff3973b83c5d9c46ee5470144111c4764165cc772e7d011e36,71d2570dff.com,Domain,"['C', 'E', 'A', 'B']",0
Domain_52718967cbfce467669c66aef2e802650688697f53adf77064120e1ef4747bce,52718967cb.com,Domain,"['C', 'E', 'A', 'B']",0
Domain_ca1457f910b630bf41b6fbd2193860796d7e58bd160cf3fff13a94fb0eff52ef,ca1457f910.com,Domain,"['C', 'E', 'A', 'B']",0
Domain_ed5eca0681098e07e69ac7cfaabf03409e86276345aa19bf46d80f8c47a75db8,ed5eca0681.com,Domain,"['C', 'E', 'A', 'B']",0
Domain_e10bd6bd62a5e3e0e14a2dd74b0b875a2ad24a6e04d4db341ce5ac94c7e1c3a4,e10bd6bd62.com,Domain,"['C', 'E', 'A', 'B']",0
Domain_450b9ec5e6e3dcdb500838823cdc4a706802791bcbcc9f316c6bb14c86412c24,450b9ec5e6.com,Domain,"['C', 'E', 'A', 'B']",0
Domain_765050be51cb547a0fef3e431e3779f65f484bded3d9b8767820fcb8d3932c17,765050be51.com,Domain,"['C', 'E', 'A', 'B']",0
Domain_82a61c370a447487d11c85e11ace07a54bfa04043ecaeab8afacdad99af374c9,82a61c370a.com,Domain,"['C', 'E', 'A', 'B']",0
Domain_63eee77050aefb4cc1b408efe1b3b40762dcb7cee00a27f097423b8c6793ffd1,63eee77050.com,Domain,[],0
