source,target,relation,isKeyline
Domain_6f414d4650f00c4c25707049e0ce321519d367668493a42b65668e70e79d4a6e,Domain_ef93be9fb7b5f5c2f6983de7bb77f7ee20bd0e9b968200bd609896a405019bef,r_subdomain,0
Domain_6f414d4650f00c4c25707049e0ce321519d367668493a42b65668e70e79d4a6e,Whois_Name_8170a48a4ca837cbfcfe6126afa36c9ed320dd4c0d7f9af7bd8755b0d97028cd,r_whois_name,0
Domain_ef93be9fb7b5f5c2f6983de7bb77f7ee20bd0e9b968200bd609896a405019bef,Whois_Name_8170a48a4ca837cbfcfe6126afa36c9ed320dd4c0d7f9af7bd8755b0d97028cd,r_whois_name,0
Domain_a3a940a67471dbe80f66d875620ee3606ca7a773e095a529a3989041d6e12938,Whois_Name_8170a48a4ca837cbfcfe6126afa36c9ed320dd4c0d7f9af7bd8755b0d97028cd,r_whois_name,0
Domain_3da5f6a875aa2a1ef78ea219b6f188091e9a55be723205f1f57e374b6bce2cee,Whois_Phone_d4e844046d099bbdd48536d0431618a45cde4f0c5593f027d8ceee11f8b9c211,r_whois_phone,0
Domain_9c72287c3f9bb38cb0186acf37b7054442b75ac32324dfd245aed46a03026de1,Whois_Name_8170a48a4ca837cbfcfe6126afa36c9ed320dd4c0d7f9af7bd8755b0d97028cd,r_whois_name,0
Domain_9c72287c3f9bb38cb0186acf37b7054442b75ac32324dfd245aed46a03026de1,IP_aadd79b44201b5aa051dd5d38af5c51baed45c630717d43db8a260b274deaedb,r_dns_a,0
Domain_9c72287c3f9bb38cb0186acf37b7054442b75ac32324dfd245aed46a03026de1,IP_4212df96fd05fb1b6138990bbc4f6c97246f9f16c863094aa6453b2c6d72a05d,r_dns_a,0
Domain_9c72287c3f9bb38cb0186acf37b7054442b75ac32324dfd245aed46a03026de1,IP_dd938bb8f5b1a4f2afed83e4be4ad7dd3891e851adac1bc5d8e0ff98e6babd90,r_dns_a,0
Domain_9c72287c3f9bb38cb0186acf37b7054442b75ac32324dfd245aed46a03026de1,Domain_6f7eedc2b96f8e56201a2358fca4dbe648c341c1d6e7e5a50664cf0c13a409d0,r_subdomain,0
