id,name,type,industry,isCenter
Domain_4e1add55e97e79c460f43466801e18df214f9a1dd88259fb6fa8bf7c39aeeb63,4e1add55e9.com,Domain,[],0
Domain_587da0bac152713947db682a5443ef639e35f77a3b59e246e8a07c5eccae67e5,587da0bac1.com,Domain,[],0
Domain_59a42dd617a7e00e80c2caeb2c70c2bfd077968525b74348bffd81c6d8149eb5,59a42dd617.com,Domain,['B'],0
Domain_520f9f36dd8505257c454b5cb4ef130e90bb10e15b56275cf82c2a245af71854,520f9f36dd.com,Domain,[],0
Domain_e62ec11cc4407d13ed49e20221e1b2fac9d6f05e9a51a719ffc9cfb338d43ec1,e62ec11cc4.com,Domain,[],0
Domain_e4e72d468dada0d661d0e82dbb9b88237c1355d92a04b9da6754007e76b571e4,e4e72d468d.com,Domain,[],0
Domain_30bb11eee1161e0518042349fbb1dfcf050580c38f2b2bddbc2bf64c2c473948,30bb11eee1.com,Domain,['B'],0
Domain_55110c5cdb9b66b9653cb2dd8b4528a65aa84c258feb08efeefe750ffb20e7b0,55110c5cdb.com,Domain,[],0
Domain_f0f443a2b6403dc5274ad00ed62532fb572d74b5b83976ac79689c1190cd883b,f0f443a2b6.com,Domain,['B'],0
Domain_c463c97e71921dafad350017e9a68b54d97e2723f620ca907fef01ba91548c14,c463c97e71.com,Domain,['B'],0
Whois_Phone_fd0a3f6712ff520edae7e554cb6dfb4bdd2af1e4a97a39ed9357b31b6888b4af,+86.400xxxxx,Whois_Phone,[],1
Domain_65b74c9ea8408e130b989c5cb4fb8b5e2275c1974bde2fa9e13ee0ee7069c6b2,65b74c9ea8.com,Domain,['B'],0
Domain_139f464bb0b3952c7659ffad052aa4389f8e4a3c383dc28d7ebd8b539198f5eb,139f464bb0.com,Domain,[],0
Domain_04ec1514db775d3c0f782c8e6cc1a9a54b8f550587ed2b5e2cd571d2a7c19fdd,04ec1514db.com,Domain,['B'],0
Domain_40cbc35277daaab2a43194397922f8f59a817d26ee2c206b6fb43e011d5f835a,40cbc35277.com,Domain,[],0
Domain_c54c8ca525c7156bbd9d0960206f14c9b588883e48435ea16d02c405a5b00389,c54c8ca525.com,Domain,['A'],0
Domain_464dd59a45c4873860c7d9ab329c8ac42da7f5c6ee7b51eaee23e06b6834d842,464dd59a45.com,Domain,['A'],0
Domain_2ba5382b31bdca51b90d71fc9650d969d7c78dd7e18652901902c7f7c675e657,2ba5382b31.com,Domain,[],0
Domain_931991420c4e5c0197a5c6a04ce227da5098ccdec91b9c5a332f420b588e3ae5,931991420c.com,Domain,[],0
Domain_34bb1f3cdee643466713194597bbdb38d3e3054f40397cba60ed2e93f607f0e5,34bb1f3cde.com,Domain,['B'],0
Domain_74d25f677694beee0f610c636c4276acfbedc35f2aa97fc6fd5f142ea4075952,74d25f6776.com,Domain,"['A', 'B']",0
Domain_5244ba26db690c17509e245c683b526ffe0579c61b8086e8a159e64190f1d644,5244ba26db.com,Domain,['B'],0
Domain_ada40e2d495f4d1939b90d4c1def18e500053a476083e3c464bf231abc74e4c9,ada40e2d49.com,Domain,['A'],0
Domain_0937dbb757ca19d9cf65d7365e151b100dfe0b2e4e46b9502f4424cf6e9345cb,0937dbb757.com,Domain,[],0
Domain_ac5f566ae0e66868ffa262ee495f3963e118280378974240bd83d392f5263fc2,ac5f566ae0.com,Domain,[],0
Domain_b8e98fe29265c3948ed46f97fa6093d7a538f3a31a754b870bfce532e10cc7a2,b8e98fe292.com,Domain,[],0
Domain_5a386c631c52ad78df460eb2a809adc98e92a6f6ec1b377f8bdd114693dc34c7,5a386c631c.com,Domain,[],0
Domain_2fc97cf80f55c5080622df507d144c469771b272c55bdad843ee86e509c45007,2fc97cf80f.com,Domain,[],0
Domain_4d2bd2e8fa2180dc06b6b82731a09c9772e55401213904ba0d5d7b1d948eb009,4d2bd2e8fa.com,Domain,[],0
Domain_1c288bca4a61ebf176f8e4298caac1cc04254f99952d77cd7a6ef228dde62397,1c288bca4a.com,Domain,['B'],0
Domain_35e5defaeb8bce39352d03cad513e65f3a3a42c6cefd61ddc9abe92afe73afd8,35e5defaeb.com,Domain,[],0
Domain_9b5fe49379ee56490caad55fcd2688cc505d76333f086fd8da7bec7f7952b7fa,9b5fe49379.com,Domain,['B'],0
Domain_7939d01c5b99c39d2a0f2b418f6060b917804e60c15309811ef4059257c0818a,7939d01c5b.com,Domain,"['A', 'B']",1
Domain_0309f1abfd871888adb8551c23225dd5aa1c8016e1154c6901825c0c3332d71d,0309f1abfd.com,Domain,[],0
IP_21ce145cae6730a99300bf677b83bbe430cc0ec957047172e73659372f0031b8,3.234.xxx.xxx,IP,[],1
Domain_7da35665aec46aab1d829560d643408b498379090ce8caab75378bf35aab9b20,7da35665ae.com,Domain,"['A', 'B']",0
IP_e510542a72186a310583ff92593934e2bf81c8ed93d54b9c8efa96f6a1ed1cd4,104.164.xxx.xxx,IP,[],0
Domain_7e55bc539176a4b751b9575118c16214d8f64e55eb1b3a66ed0401a7839f7a1d,7e55bc5391.com,Domain,['A'],0
Domain_3da5f6a875aa2a1ef78ea219b6f188091e9a55be723205f1f57e374b6bce2cee,3da5f6a875.com,Domain,['B'],0
Domain_eeb696401699231c5074c42b978a48c4ad599b8db5c9707e2a61c36f272708a1,eeb6964016.com,Domain,['B'],0
Domain_90d9ae407557ee9b8eca3ad9278d613a08c2b118d25b15cea3b922fae9497045,90d9ae4075.com,Domain,[],0
Domain_f2a15c9d4e250210a63c1382ad3d875b268543a80108910e4748ff8c6f0a010e,f2a15c9d4e.com,Domain,['A'],0
Domain_2f889caa31a3e18b6c71846185152fa1ef1c6a003ac4e35f94afb2041add9a5f,2f889caa31.com,Domain,['B'],0
Domain_de953c4ebd55382b4a00562b8c21d78187d82540d398b644defc77725674919a,de953c4ebd.com,Domain,"['A', 'B']",0
Domain_a2f78b29b4d34f1e26824dffd421a3f4465e33dd1d79d5a784c79282c3d5a850,a2f78b29b4.com,Domain,[],0
Domain_eeb75191badebfb92521d37cedabda94be411b1f7417af40d26e136a6922fc97,eeb75191ba.com,Domain,[],0
Domain_07b445468ec3a96337a28074eb798ff910babec2cf4869c7160cc49186af3126,07b445468e.com,Domain,[],0
Domain_fb2ad89936e4a7d94f53044708907372723bce75a35567d9ddcfc0165dc72c55,fb2ad89936.com,Domain,[],0
Domain_f5d9eec4bae96fb4d693ff310f1d839fd8670fc78b660e0083b92b023c2d3226,f5d9eec4ba.com,Domain,[],0
Domain_8b9428cd2e5cb087dbfbeac5e64fbaaf33c3ce51173b1afdebce276bc83ea9dd,8b9428cd2e.com,Domain,[],0
Domain_871816b3608137f544b8eb71a2d72e23c3d6b265a2a4463ad2cc2623b1386bd6,871816b360.com,Domain,[],0
